Date,Open_Price,High_Price,Low_Price,Close_Price,Adj_Close_Price,Volume
6/17/14,224.110001,235.539993,222.850006,231.669998,231.669998,13304900
6/18/14,231.5,231.710007,226.119995,227.119995,227.119995,6940200
6/19/14,228.880005,235.309998,227,227.789993,227.789993,8793100
6/20/14,228.520004,231.289993,226.199997,229.589996,229.589996,4903900
6/23/14,229.509995,238.990005,228.220001,237.220001,237.220001,7791100
6/24/14,238.970001,241.880005,231.630005,232.5,232.5,8075900
6/25/14,233.050003,237.550003,230.240005,236.889999,236.889999,5801600
6/26/14,237.169998,240.399994,234.210007,235.600006,235.600006,5121400
6/27/14,234.690002,240,234.5,239.059998,239.059998,5635000
6/30/14,239.550003,244.490005,239,240.059998,240.059998,4828600
7/1/14,242.460007,243.440002,238.699997,239.720001,239.720001,4336100
7/2/14,240.660004,242.330002,227.070007,229.429993,229.429993,8027400
7/3/14,231.289993,231.899994,224,229.25,229.25,5166700
7/7/14,227.5,229.779999,220.399994,222.660004,222.660004,5893700
7/8/14,218.649994,220.960007,214.270004,219.070007,219.070007,7836200
7/9/14,221.270004,224.220001,219.210007,223.059998,223.059998,4115400
7/10/14,217.179993,222.220001,216.039993,219.460007,219.460007,4863900
7/11/14,220.610001,221.600006,217.600006,218.130005,218.130005,3302300
7/14/14,219.990005,228.789993,215.449997,226.699997,226.699997,7203200
7/15/14,226.729996,227.649994,218.100006,219.580002,219.580002,5718500
7/16/14,221.820007,224.800003,216.820007,217.160004,217.160004,4044500
7/17/14,216.160004,220.550003,213.600006,215.399994,215.399994,4649400
7/18/14,215.949997,221.210007,215.929993,220.020004,220.020004,4253700
7/21/14,217.25,223.210007,216.720001,220.539993,220.539993,3822200
7/22/14,222.190002,223.300003,219.110001,219.580002,219.580002,2730000
7/23/14,220.009995,224.75,219.429993,222.490005,222.490005,3083300
7/24/14,223.25,225.100006,220.800003,223.539993,223.539993,3245500
7/25/14,222.720001,226.970001,221.75,223.570007,223.570007,3087100
7/28/14,224.25,232,221.399994,224.820007,224.820007,6514300
7/29/14,226.610001,228.300003,224.860001,225.009995,225.009995,3382400
7/30/14,221.919998,229.600006,221.039993,228.919998,228.919998,4927800
7/31/14,229.259995,231.399994,221.5,223.300003,223.300003,7749100
8/1/14,226.089996,237.5,226,233.270004,233.270004,11895800
8/4/14,234.380005,240.5,233.270004,238.520004,238.520004,5959700
8/5/14,237.470001,242.990005,235.690002,238.490005,238.490005,5388600
8/6/14,238.899994,251.419998,238.580002,248.929993,248.929993,9249300
8/7/14,250.119995,256.690002,249.119995,252.389999,252.389999,7478900
8/8/14,251.160004,251.759995,246.5,248.130005,248.130005,5090100
8/11/14,255.479996,263.73999,255,259.320007,259.320007,8101300
